[LoggerStatus.SUCCESS] | [+] Starting assembly. Options (True, True, True, True) | Thu Oct 16 03:09:52 2025
[LoggerStatus.SUCCESS] | [+] Create default directories | Thu Oct 16 03:09:52 2025
[LoggerStatus.SUCCESS] | [+] Copy Dotfiles & GTK | Thu Oct 16 03:09:52 2025
[LoggerStatus.SUCCESS] | [+] Updates Enabled | Thu Oct 16 03:09:53 2025
[LoggerStatus.SUCCESS] | [+] Installed BSPWM Dependencies | Thu Oct 16 03:09:58 2025
[LoggerStatus.SUCCESS] | Installed: ffmpegthumbnailer | Thu Oct 16 03:11:09 2025
[LoggerStatus.SUCCESS] | Installed: tumbler | Thu Oct 16 03:11:10 2025
[LoggerStatus.SUCCESS] | Installed: lsd | Thu Oct 16 03:11:11 2025
[LoggerStatus.SUCCESS] | Installed: alacritty | Thu Oct 16 03:11:13 2025
[LoggerStatus.SUCCESS] | Installed: bat | Thu Oct 16 03:11:15 2025
[LoggerStatus.SUCCESS] | Installed: evince | Thu Oct 16 03:11:38 2025
[LoggerStatus.SUCCESS] | Installed: nvtop | Thu Oct 16 03:11:39 2025
[LoggerStatus.SUCCESS] | Installed: npm | Thu Oct 16 03:11:44 2025
[LoggerStatus.SUCCESS] | Installed: brightnessctl | Thu Oct 16 03:11:45 2025
[LoggerStatus.SUCCESS] | Installed: kitty | Thu Oct 16 03:11:50 2025
[LoggerStatus.SUCCESS] | Installed: gvfs | Thu Oct 16 03:11:51 2025
[LoggerStatus.SUCCESS] | Installed: gvfs-mtp | Thu Oct 16 03:11:55 2025
[LoggerStatus.SUCCESS] | Installed: automake | Thu Oct 16 03:11:56 2025
[LoggerStatus.SUCCESS] | Installed: make | Thu Oct 16 03:11:56 2025
[LoggerStatus.SUCCESS] | Installed: cmake | Thu Oct 16 03:12:00 2025
[LoggerStatus.SUCCESS] | Installed: autoconf | Thu Oct 16 03:12:00 2025
[LoggerStatus.SUCCESS] | Installed: bluez | Thu Oct 16 03:12:02 2025
[LoggerStatus.SUCCESS] | Installed: bluez-utils | Thu Oct 16 03:12:03 2025
[LoggerStatus.SUCCESS] | Installed: dunst | Thu Oct 16 03:12:04 2025
[LoggerStatus.SUCCESS] | Installed: fakeroot | Thu Oct 16 03:12:05 2025
[LoggerStatus.SUCCESS] | Installed: feh | Thu Oct 16 03:12:06 2025
[LoggerStatus.SUCCESS] | Installed: firefox | Thu Oct 16 03:12:22 2025
[LoggerStatus.SUCCESS] | Installed: fish | Thu Oct 16 03:12:25 2025
[LoggerStatus.SUCCESS] | Installed: thunar-archive-plugin | Thu Oct 16 03:12:27 2025
[LoggerStatus.SUCCESS] | Installed: gzip | Thu Oct 16 03:12:27 2025
[LoggerStatus.SUCCESS] | Installed: p7zip | Thu Oct 16 03:12:29 2025
[LoggerStatus.SUCCESS] | Installed: unrar | Thu Oct 16 03:12:30 2025
[LoggerStatus.SUCCESS] | Installed: zip | Thu Oct 16 03:12:31 2025
[LoggerStatus.SUCCESS] | Installed: unzip | Thu Oct 16 03:12:31 2025
[LoggerStatus.SUCCESS] | Installed: xarchiver | Thu Oct 16 03:12:33 2025
[LoggerStatus.SUCCESS] | Installed: gedit | Thu Oct 16 03:12:35 2025
[LoggerStatus.SUCCESS] | Installed: htop | Thu Oct 16 03:12:36 2025
[LoggerStatus.SUCCESS] | Installed: btop | Thu Oct 16 03:12:37 2025
[LoggerStatus.SUCCESS] | Installed: thunar | Thu Oct 16 03:12:38 2025
[LoggerStatus.SUCCESS] | Installed: zathura | Thu Oct 16 03:12:40 2025
[LoggerStatus.SUCCESS] | Installed: zathura-djvu | Thu Oct 16 03:12:41 2025
[LoggerStatus.SUCCESS] | Installed: zathura-pdf-mupdf | Thu Oct 16 03:12:50 2025
[LoggerStatus.SUCCESS] | Installed: picom | Thu Oct 16 03:12:52 2025
[LoggerStatus.SUCCESS] | Installed: nitrogen | Thu Oct 16 03:12:57 2025
[LoggerStatus.SUCCESS] | Installed: pavucontrol | Thu Oct 16 03:13:07 2025
[LoggerStatus.SUCCESS] | Installed: redshift | Thu Oct 16 03:13:09 2025
[LoggerStatus.SUCCESS] | Installed: scrot | Thu Oct 16 03:13:13 2025
[LoggerStatus.SUCCESS] | Installed: fastfetch | Thu Oct 16 03:13:15 2025
[LoggerStatus.SUCCESS] | Installed: rofi | Thu Oct 16 03:13:18 2025
[LoggerStatus.SUCCESS] | Installed: rofi-calc | Thu Oct 16 03:13:19 2025
[LoggerStatus.SUCCESS] | Installed: rofi-emoji | Thu Oct 16 03:13:20 2025
[LoggerStatus.SUCCESS] | Installed: mat2 | Thu Oct 16 03:13:23 2025
[LoggerStatus.SUCCESS] | Installed: ranger | Thu Oct 16 03:13:24 2025
[LoggerStatus.SUCCESS] | Installed: calcurse | Thu Oct 16 03:13:25 2025
[LoggerStatus.SUCCESS] | Installed: ttf-jetbrains-mono | Thu Oct 16 03:13:27 2025
[LoggerStatus.SUCCESS] | Installed: ttf-jetbrains-mono-nerd | Thu Oct 16 03:13:36 2025
[LoggerStatus.SUCCESS] | Installed: ttf-fira-code | Thu Oct 16 03:13:38 2025
[LoggerStatus.SUCCESS] | Installed: ttf-iosevka-nerd | Thu Oct 16 03:14:00 2025
[LoggerStatus.SUCCESS] | Installed: libreoffice | Thu Oct 16 03:14:53 2025
[LoggerStatus.SUCCESS] | Installed: tree | Thu Oct 16 03:14:53 2025
[LoggerStatus.SUCCESS] | Installed: sudo | Thu Oct 16 03:14:54 2025
[LoggerStatus.SUCCESS] | Installed: ffmpeg | Thu Oct 16 03:14:55 2025
[LoggerStatus.SUCCESS] | Installed: polybar | Thu Oct 16 03:14:56 2025
[LoggerStatus.SUCCESS] | Installed: torbrowser-launcher | Thu Oct 16 03:15:07 2025
[LoggerStatus.SUCCESS] | Installed: dpkg | Thu Oct 16 03:15:09 2025
[LoggerStatus.SUCCESS] | Installed: gcc | Thu Oct 16 03:15:15 2025
